primary_product,product_portfolio,has_video,verification_session_tool_name,qa_reviewed,decision_error_sessions,critical_error_sessions,extraction_error_sessions,false_approves,false_declines,missed_fraud_sessions,declinable_sessions,approvable_sessions,fraud_sessions,decision_error_rate,critical_error_rate,extraction_error_rate,false_approve_rate,false_rejection_rate,missed_fraud_rate,decline_rate_in_qa,approve_rate_in_qa,fraud_rate_in_qa
IDV,IDV,False,full_auto,43300,1737,185,303.0,89,96,35,1066,37912,1125,0.04011547344110854,0.00427251732101616,0.00699769053117782,0.08348968105065666,0.00253217978476471,0.03111111111111111,0.0246189376443418,0.8755658198614319,0.02598152424942263
Biometric Authentication,Biometric Solutions,True,full_auto,8919,207,207,,17,190,10,317,8597,246,0.02320887991927346,0.02320887991927346,,0.05362776025236593,0.02210073281377224,0.04065040650406504,0.03554210113241394,0.9638972979033524,0.02758156744029599
Proof of Address,Data Verification,False,full_auto,9,0,0,,0,0,0,5,4,0,0.0,0.0,,0.0,0.0,,0.5555555555555556,0.4444444444444444,0.0
Unknown,Unknown,False,full_auto,3981,306,93,,93,0,0,95,3391,0,0.07686510926902788,0.02336096458176337,,0.9789473684210527,0.0,,0.02386335091685506,0.8517960311479528,0.0
Biometric Passive Liveness,Biometric Solutions,True,full_auto,105002,1808,844,,707,137,129,9751,93171,9146,0.01721871964343536,0.00803794213443553,,0.072505384063173,0.00147041461398933,0.0141045265689919,0.09286489781147025,0.887325955696082,0.08710310279804194
Age Estimation,Biometric Solutions,True,verification_tool,1,0,0,,0,0,0,0,1,0,0.0,0.0,,,0.0,,0.0,1.0,0.0
Unknown,Unknown,True,full_auto,10,0,0,0.0,0,0,0,1,9,0,0.0,0.0,0.0,0.0,0.0,,0.1,0.9,0.0
Age Estimation,Biometric Solutions,True,full_auto,14,0,0,,0,0,0,1,12,1,0.0,0.0,,0.0,0.0,0.0,0.07142857142857142,0.8571428571428571,0.07142857142857142
Document Verification,IDV,False,verification_tool,12346,952,107,285.0,45,62,46,604,8299,610,0.07710999514012636,0.00866677466385873,0.02308439980560505,0.07450331125827814,0.00747077961200144,0.07540983606557378,0.04892272800907176,0.6722015227604082,0.04940871537340029
Document Verification,IDV,True,full_auto,14403,1064,31,176.0,11,20,11,275,12494,277,0.0738734985766854,0.00215232937582448,0.01221967645629382,0.04,0.00160076836881703,0.03971119133574007,0.0190932444629591,0.8674581684371312,0.01923210442268971
Biometric Passive Liveness,Biometric Solutions,False,full_auto,2310,38,20,,17,3,6,395,1465,384,0.01645021645021645,0.00865800865800865,,0.0430379746835443,0.00204778156996587,0.015625,0.17099567099567098,0.6341991341991342,0.16623376623376623
Biometric Enrolment,Biometric Solutions,False,full_auto,70,1,0,,0,0,0,0,69,0,0.01428571428571428,0.0,,,0.0,,0.0,0.9857142857142858,0.0
Age Estimation,Biometric Solutions,False,full_auto,1,0,0,,0,0,0,0,1,0,0.0,0.0,,,0.0,,0.0,1.0,0.0
Full Auto IDV (Selfie & Document),Full Auto,False,full_auto,59257,6737,1104,523.0,936,168,134,3365,40884,2370,0.11369120947736132,0.01863071029583002,0.00882596148978179,0.27815750371471026,0.00410918696800704,0.05654008438818565,0.05678653998683699,0.6899438041075316,0.0399952748198525
IDV,IDV,True,full_auto,40353,2796,159,1479.0,77,82,72,2783,32021,2959,0.06928852873392312,0.00394022749237974,0.03665155007062671,0.02766798418972332,0.00256081946222791,0.02433254477864143,0.06896637176913736,0.7935221668773077,0.07332788144623695
Biometric Passive Liveness,Biometric Solutions,True,verification_tool,4480,66,54,,44,10,7,857,3593,372,0.01473214285714285,0.01205357142857142,,0.0513418903150525,0.00278318953520734,0.01881720430107526,0.19129464285714284,0.8020089285714286,0.08303571428571428
Biometric Authentication,Biometric Solutions,False,verification_tool,33,1,1,,0,1,0,4,29,4,0.0303030303030303,0.0303030303030303,,0.0,0.03448275862068965,0.0,0.12121212121212122,0.8787878787878788,0.12121212121212122
Biometric Enrolment,Biometric Solutions,False,verification_tool,2,0,0,,0,0,0,0,2,0,0.0,0.0,,,0.0,,0.0,1.0,0.0
Full Auto IDV (Document Only),Full Auto,True,full_auto,23,3,0,0.0,0,0,0,0,19,0,0.13043478260869565,0.0,0.0,,0.0,,0.0,0.8260869565217391,0.0
Unknown,Unknown,True,verification_tool,1,0,0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0
IDV,IDV,False,verification_tool,3225,307,33,69.0,23,10,7,243,1875,181,0.0951937984496124,0.01023255813953488,0.0213953488372093,0.09465020576131687,0.00533333333333333,0.03867403314917127,0.07534883720930231,0.5813953488372093,0.05612403100775193
Document Verification,IDV,False,full_auto,101425,6476,353,985.0,191,162,193,3386,84475,3537,0.0638501355681538,0.0034804042395859,0.00971160956371703,0.0564087418783225,0.00191772713820656,0.05456601639807746,0.03338427409415824,0.8328814394873059,0.03487305891052501
Document Verification,IDV,True,verification_tool,932,97,6,27.0,0,6,0,41,447,41,0.10407725321888411,0.00643776824034334,0.02896995708154506,0.0,0.0134228187919463,0.0,0.04399141630901287,0.4796137339055794,0.04399141630901287
Proof of Address,Data Verification,False,verification_tool,205,13,13,10.0,3,10,0,101,104,0,0.06341463414634146,0.06341463414634146,0.04878048780487804,0.0297029702970297,0.09615384615384615,,0.4926829268292683,0.5073170731707317,0.0
PEP and Sanctions via API,Data Verification,False,full_auto,7,0,0,,0,0,0,0,7,0,0.0,0.0,,,0.0,,0.0,1.0,0.0
Unknown,Unknown,False,verification_tool,104,5,2,0.0,2,0,0,29,74,1,0.04807692307692307,0.01923076923076923,0.0,0.06896551724137931,0.0,0.0,0.27884615384615385,0.7115384615384616,0.00961538461538461
IDV,IDV,True,verification_tool,4154,364,38,144.0,21,17,16,262,2498,247,0.08762638420799229,0.0091478093403948,0.03466538276360134,0.08015267175572519,0.00680544435548438,0.06477732793522267,0.06307173808377467,0.6013480982185845,0.0594607607125662
Biometric Passive Liveness,Biometric Solutions,False,verification_tool,61,1,0,,0,0,0,14,44,10,0.01639344262295081,0.0,,0.0,0.0,0.0,0.22950819672131148,0.7213114754098361,0.16393442622950818
Full Auto IDV (Selfie & Document),Full Auto,True,full_auto,1507,95,3,42.0,2,1,3,42,1320,46,0.0630391506303915,0.0019907100199071,0.0278699402786994,0.04761904761904761,0.00075757575757575,0.06521739130434782,0.0278699402786994,0.8759124087591241,0.0305242203052422
Biometric Authentication,Biometric Solutions,False,full_auto,22890,563,559,,36,523,18,445,22436,327,0.02459589340323285,0.02442114460463084,,0.08089887640449438,0.02331075057942592,0.05504587155963302,0.01944080384447356,0.9801660113586719,0.01428571428571428
Full Auto IDV (Document Only),Full Auto,False,full_auto,572,25,5,5.0,3,2,3,5,521,6,0.0437062937062937,0.00874125874125874,0.00874125874125874,0.6,0.00383877159309021,0.5,0.00874125874125874,0.9108391608391608,0.01048951048951048
Biometric Authentication,Biometric Solutions,True,verification_tool,100,0,0,,0,0,0,1,99,1,0.0,0.0,,0.0,0.0,0.0,0.01,0.99,0.01
