,overall_margin,total_sampled,cost_total,dimension_coverage,dimension_list,customer_coverage,customer_list,product_coverage,product_list,industry_coverage,industry_list,document_country_coverage,document_country_list,region_coverage,region_list,share_top_3_customers,share_strategic_clients_met_sla,uber_main_account_total_volume,uber_main_account_simulated_sessions,uber_main_account_left_to_cover,cost_over_coverage,strategy_name
Current Random 1.0x,0.013582131817487415,40507,24304.2,2,"Feeld & Feeld & Biometric Authentication & Business Services & 0 & UNKNOWN & sdk & Tier 1 & Biometric Solutions, Kueski & Kueski & IDV & Finance & LATAM & Mexico & web & Tier 1 & IDV",5,"Aplazo, Feeld, Gold Coin Group, Tracfone Wireless, Inc, Uphold Live",1,IDV,0,,0,,0,,45.14528353124152,0.0,8239257,15321,67071,4050.7000000000003,Current Random 1.0x
Current Random 0.3x,0.024740695193072256,12152,7291.2,0,,0,,0,,0,,0,,0,,44.66754443712969,0.0,8239257,4543,77849,7291.2,
Current Random 0.5x,0.021636778754391545,20253,12151.8,0,,1,Uphold Live,0,,0,,0,,0,,44.457611218091145,0.0,8239257,7535,74857,12151.8,
Current Random 0.7x,0.01597913840649426,28354,17012.399999999998,1,Feeld & Feeld & Biometric Authentication & Business Services & 0 & UNKNOWN & sdk & Tier 1 & Biometric Solutions,3,"Feeld, Gold Coin Group, Uphold Live",0,,0,,0,,0,,45.2669817309727,0.0,8239257,10756,71636,5670.799999999999,
Current Random 2.0x,0.009546213754164208,81014,48608.4,4,"Feeld & Feeld & Biometric Authentication & Business Services & 0 & UNKNOWN & sdk & Tier 1 & Biometric Solutions, Kueski & Kueski & IDV & Finance & LATAM & Mexico & web & Tier 1 & IDV, Uphold Live & Uphold Live & Biometric Authentication & Software & 0 & UNKNOWN & sdk & Tier Platinum & Biometric Solutions, Uphold Live & Uphold Live & Biometric Authentication & Software & 0 & UNKNOWN & web & Tier Platinum & Biometric Solutions",17,"AiPrise, Aplazo, Blockchain Ltd, Feeld, Gold Coin Group, Kueski, LeoVegas - BoaLion, Rush Street, Scrambly SRL, Square, Tracfone Wireless, Inc, TransferGo, Transform Credit, Uber Main Account, Uphold Live, ZEN, micro1",1,IDV,2,"Software, Transportation",1,United States of America,2,"AMER, LATAM",45.1354086947935,7.6923076923076925,8239257,30634,51758,2113.408695652174,Current Random 2.0x
Current Random 3.0x,0.007832142013856694,121521,72912.59999999999,7,"Aplazo & Aplazo & IDV & Software & LATAM & Mexico & sdk & Tier 1 & IDV, Aplazo & Aplazo & IDV & Software & LATAM & Mexico & web & Tier 1 & IDV, Feeld & Feeld & Biometric Authentication & Business Services & 0 & UNKNOWN & sdk & Tier 1 & Biometric Solutions, Kueski & Kueski & IDV & Finance & LATAM & Mexico & web & Tier 1 & IDV, Uphold Live & Uphold Live & Biometric Authentication & Software & 0 & UNKNOWN & sdk & Tier Platinum & Biometric Solutions, Uphold Live & Uphold Live & Biometric Authentication & Software & 0 & UNKNOWN & web & Tier Platinum & Biometric Solutions, Uphold Live & Uphold Live & IDV & Software & AMER & United States of America & web & Tier Platinum & IDV",30,"AiPrise, Almedia GmbH, Aplazo, Bambu Systems, Behind The App, Blockchain Ltd, Comun, Inc., Feeld, Gold Coin Group, Kueski, LeoVegas - BoaLion, Monese, PHENOVOX VENTURES LLP, Patrianna, Ria Financial Services, Rush Street, Scrambly SRL, Square, Stripe - AWS, Tracfone Wireless, Inc, TransferGo, Transform Credit, Trustpilot, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, ZEN, krediya",3,"Document Verification, Full Auto IDV (Selfie & Document), IDV",3,"Hospitality, Software, Transportation",1,United States of America,3,"AMER, EU, LATAM",45.13129417960682,7.6923076923076925,8239257,45946,36446,1822.8149999999998,Current Random 3.0x
True Random 1.0x,0.013582131817487415,40507,24304.2,2,"Feeld & Feeld & Biometric Authentication & Business Services & 0 & UNKNOWN & sdk & Tier 1 & Biometric Solutions, Kueski & Kueski & IDV & Finance & LATAM & Mexico & web & Tier 1 & IDV",5,"Aplazo, Feeld, Gold Coin Group, Tracfone Wireless, Inc, Uphold Live",1,IDV,0,,0,,0,,45.14528353124152,0.0,8239257,15321,67071,4050.7000000000003,
True Random 0.3x,0.024740695193072256,12152,7291.2,0,,0,,0,,0,,0,,0,,44.66754443712969,0.0,8239257,4543,77849,7291.2,
True Random 0.5x,0.021636778754391545,20253,12151.8,0,,1,Uphold Live,0,,0,,0,,0,,44.457611218091145,0.0,8239257,7535,74857,12151.8,
True Random 0.7x,0.01597913840649426,28354,17012.399999999998,1,Feeld & Feeld & Biometric Authentication & Business Services & 0 & UNKNOWN & sdk & Tier 1 & Biometric Solutions,3,"Feeld, Gold Coin Group, Uphold Live",0,,0,,0,,0,,45.2669817309727,0.0,8239257,10756,71636,5670.799999999999,
True Random 2.0x,0.009546213754164208,81014,48608.4,4,"Feeld & Feeld & Biometric Authentication & Business Services & 0 & UNKNOWN & sdk & Tier 1 & Biometric Solutions, Kueski & Kueski & IDV & Finance & LATAM & Mexico & web & Tier 1 & IDV, Uphold Live & Uphold Live & Biometric Authentication & Software & 0 & UNKNOWN & sdk & Tier Platinum & Biometric Solutions, Uphold Live & Uphold Live & Biometric Authentication & Software & 0 & UNKNOWN & web & Tier Platinum & Biometric Solutions",17,"AiPrise, Aplazo, Blockchain Ltd, Feeld, Gold Coin Group, Kueski, LeoVegas - BoaLion, Rush Street, Scrambly SRL, Square, Tracfone Wireless, Inc, TransferGo, Transform Credit, Uber Main Account, Uphold Live, ZEN, micro1",1,IDV,2,"Software, Transportation",1,United States of America,2,"AMER, LATAM",45.1354086947935,7.6923076923076925,8239257,30634,51758,2113.408695652174,
True Random 3.0x,0.007832142013856694,121521,72912.59999999999,7,"Aplazo & Aplazo & IDV & Software & LATAM & Mexico & sdk & Tier 1 & IDV, Aplazo & Aplazo & IDV & Software & LATAM & Mexico & web & Tier 1 & IDV, Feeld & Feeld & Biometric Authentication & Business Services & 0 & UNKNOWN & sdk & Tier 1 & Biometric Solutions, Kueski & Kueski & IDV & Finance & LATAM & Mexico & web & Tier 1 & IDV, Uphold Live & Uphold Live & Biometric Authentication & Software & 0 & UNKNOWN & sdk & Tier Platinum & Biometric Solutions, Uphold Live & Uphold Live & Biometric Authentication & Software & 0 & UNKNOWN & web & Tier Platinum & Biometric Solutions, Uphold Live & Uphold Live & IDV & Software & AMER & United States of America & web & Tier Platinum & IDV",30,"AiPrise, Almedia GmbH, Aplazo, Bambu Systems, Behind The App, Blockchain Ltd, Comun, Inc., Feeld, Gold Coin Group, Kueski, LeoVegas - BoaLion, Monese, PHENOVOX VENTURES LLP, Patrianna, Ria Financial Services, Rush Street, Scrambly SRL, Square, Stripe - AWS, Tracfone Wireless, Inc, TransferGo, Transform Credit, Trustpilot, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, ZEN, krediya",3,"Document Verification, Full Auto IDV (Selfie & Document), IDV",3,"Hospitality, Software, Transportation",1,United States of America,3,"AMER, EU, LATAM",45.13129417960682,7.6923076923076925,8239257,45946,36446,1822.8149999999998,
Oversample Small Traditional 1.0x,0.013769099795244481,40507,24304.2,0,,4,"AiPrise, Gold Coin Group, Rush Street, Tracfone Wireless, Inc",1,IDV,0,,0,,0,,38.41558249191498,0.0,8239257,2447,79945,4860.84,
Client-Tier Weighting 1.0x,0.012003553146692908,40507,24304.2,0,,5,"AiPrise, LeoVegas - BoaLion, Moozi Limited, PHENOVOX VENTURES LLP, micro1",1,IDV,0,,0,,0,,26.015256622312194,0.0,8239257,6883,75509,4050.7000000000003,
Proportional Stratified Sampling 1.0x,0.017085292385323997,40507,24304.2,0,,0,,0,,0,,0,,0,,13.192781494556497,0.0,8239257,4316,78076,24304.2,
Proportional Stratified Sampling 2.0x,0.01728858985155664,81014,48608.4,0,,1,micro1,0,,0,,0,,0,,11.883131310637667,0.0,8239257,7788,74604,48608.4,
Equal Stratified Sampling 1.0x,0.017085292385323997,40507,24304.2,0,,0,,0,,0,,0,,0,,13.113782802972326,0.0,8239257,4306,78086,24304.2,
Equal Stratified Sampling 2.0x,0.01728858985155664,81014,48608.4,0,,1,micro1,0,,0,,0,,0,,11.799195200829486,0.0,8239257,7765,74627,48608.4,
Biased Exp=0.3,0.02235557759944414,40507,24304.2,0,,0,,0,,0,,0,,0,,7.522156664280248,0.0,8239257,2511,79881,24304.2,
Biased Exp=0.7,0.012472201255484861,40507,24304.2,0,,6,"AiPrise, Deel, Monese, Ria Financial Services, TransferGo, Uphold Live",1,IDV,0,,0,,0,,32.63139704248648,0.0,8239257,10540,71852,3472.0285714285715,
Biased Exp=0.8,0.012472203596096916,40507,24304.2,0,,5,"AiPrise, Gold Coin Group, JTI PH, Stripe - AWS, TransferGo",0,,0,,0,,0,,47.25356111289407,0.0,8239257,13462,68930,4860.84,
Biased Exp=1.5,0.016508489852380973,40507,24304.2,1,UK OneLogin & UK OneLogin & Document Verification & Business Services & EU & United Kingdom & api & Tier 1 & IDV,0,,0,,0,,0,,0,,77.76186831905596,0.0,8239257,14554,67838,24304.2,
